CD14	CD23	CD3	CD19	id
186	0	216	198	1
116	272	232	175	4
287	370	349	288	8
148	111	576	104	7
115	198	481	217	7
146	178	553	269	7
18	53	577	0	7
0	0	91	42	1
171	290	263	129	4
173	338	333	254	8
0	110	500	229	7
274	321	307	277	8
118	212	572	220	7
91	205	551	271	7
203	219	298	203	4
94	220	184	121	1
142	97	563	277	7
194	261	210	212	4
58	153	586	249	7
695	234	335	197	6
156	170	471	272	7
222	197	317	344	5
202	245	262	280	5
212	299	266	253	5
235	237	308	151	4
120	4	584	239	7
219	489	78	552	2
330	388	339	360	8
32	209	538	285	7
263	319	276	301	8
168	218	570	232	7
221	363	255	328	8
280	319	260	250	8
270	312	232	214	4
177	307	288	226	4
84	171	465	220	7
174	213	195	238	5
187	165	260	183	4
216	224	205	267	5
160	132	550	288	7
95	191	541	292	7
17	191	501	219	7
134	208	28	528	2
0	63	510	321	7
80	252	554	238	7
99	0	514	143	7
661	131	410	347	6
130	134	432	277	7
162	285	259	283	5
205	338	303	208	4
179	273	228	205	4
89	171	135	206	1
153	669	85	506	2
212	286	276	303	5
629	0	266	267	6
24	241	111	455	2
129	221	591	256	7
465	250	161	182	6
93	203	519	175	7
125	161	608	226	7
340	454	383	372	3
116	226	537	222	7
234	284	273	281	8
67	0	559	210	7
79	90	575	184	7
151	188	499	242	7
303	376	400	337	8
173	237	373	213	4
231	284	181	256	5
59	587	101	521	2
186	140	597	299	7
280	377	341	377	8
137	197	282	266	5
365	388	408	175	8
102	181	128	220	1
227	205	234	281	5
116	71	476	231	7
33	427	106	522	2
81	131	218	208	1
637	41	200	166	6
232	273	301	224	4
43	418	164	521	2
239	306	258	283	8
116	28	521	199	7
85	198	536	0	7
233	304	288	180	4
112	126	399	298	7
224	268	247	321	5
205	235	296	320	5
235	281	296	292	8
67	142	339	156	1
173	141	570	241	7
139	215	244	141	4
609	0	177	151	6
606	8	258	325	6
226	253	226	164	4
169	181	585	227	7
209	246	211	166	4
290	378	370	290	8
135	256	545	174	7
151	87	178	222	1
157	218	535	252	7
278	237	240	228	4
144	622	0	496	2
237	273	357	327	8
283	256	259	255	8
251	184	176	26	1
156	59	554	248	7
656	23	320	168	6
58	45	524	142	7
129	305	197	258	5
206	272	239	250	5
216	202	244	268	5
633	333	321	313	6
195	290	279	338	5
177	306	288	234	4
500	107	274	271	6
225	246	248	217	4
199	240	253	226	5
44	115	518	198	7
220	317	297	244	8
611	247	301	355	6
180	360	249	213	4
209	248	287	191	4
139	293	256	120	4
136	285	291	248	5
90	202	615	307	7
118	167	543	211	7
240	213	252	267	5
216	316	131	141	4
308	280	257	330	8
106	38	169	0	1
118	206	549	260	7
473	316	329	284	6
193	338	287	203	4
186	296	290	243	5
115	229	508	101	7
121	196	162	109	1
482	188	279	287	6
246	304	323	189	4
218	296	269	254	5
174	249	288	249	5
64	238	587	203	7
90	136	338	119	1
275	162	272	216	4
155	289	280	189	4
206	227	297	235	5
209	297	255	255	5
163	214	275	193	4
235	301	294	150	4
141	246	574	157	7
123	74	569	199	7
368	212	211	162	4
601	0	129	287	6
257	327	258	307	8
172	114	630	230	7
138	0	402	209	7
84	173	173	160	1
243	276	298	225	4
152	136	560	271	7
175	322	280	171	4
83	37	498	276	7
233	305	316	286	8
87	0	546	186	7
2	527	48	502	2
115	165	574	240	7
140	0	510	246	7
187	386	251	224	4
233	275	311	199	4
183	247	307	214	4
164	235	572	79	7
161	259	242	256	5
214	309	310	270	8
644	328	339	217	6
171	189	243	276	5
142	253	239	244	5
66	214	584	251	7
73	62	554	258	7
51	65	543	304	7
258	296	287	187	4
266	329	300	177	4
18	181	562	182	7
169	42	532	253	7
156	241	280	163	4
86	133	517	111	7
174	290	248	195	4
204	285	255	246	5
91	1	491	208	7
111	156	571	259	7
226	98	179	239	1
29	0	540	266	7
249	336	289	296	8
129	150	513	214	7
164	70	554	277	7
220	289	331	305	8
130	102	468	0	7
107	213	148	596	2
19	611	0	462	2
220	311	296	330	8
80	141	558	190	7
175	324	307	277	8
263	243	258	264	5
656	174	198	328	6
