CD20	CD24	CD27	CD38	IgD	id
1	1728	517	30	2795	1396	1
2	1226	477	753	2539	1652	1
3	977	418	499	2541	1435	1
4	1322	540	1605	2499	1509	1
8	3184	2126	799	2076	1918	2
10	3064	1995	1	2038	1224	2
13	1339	645	490	2325	1500	1
18	1356	373	821	3115	1456	1
19	1343	337	522	2415	1508	1
23	3211	683	30	1964	1506	2
24	977	490	422	2697	1403	1
25	3437	1176	1	2295	1950	2
26	1133	246	803	3006	1347	1
27	3260	1131	138	1800	1962	2
28	3040	1133	71	2097	1591	2
31	1220	654	825	2077	1422	1
32	1311	1478	764	1652	1554	1
37	1286	490	764	2960	1366	1
39	3137	915	1	2231	1742	2
42	1187	610	602	2522	1549	1
45	1138	472	810	2867	1313	1
48	1034	463	553	1600	1452	1
49	2752	1457	162	1954	1357	2
50	1466	666	753	3125	1550	1
51	700	588	324	1893	1475	1
52	1193	720	632	2706	1485	1
55	2479	909	8	780	1176	2
57	3064	1718	1	1905	1538	2
58	2986	615	49	795	1539	2
59	1091	285	413	2487	1430	1
60	1164	535	784	2406	1792	1
61	1484	427	580	2352	1155	1
62	3040	1607	588	1779	1563	2
63	3194	700	1	1689	1432	2
64	947	683	918	2726	1302	1
69	3341	1088	179	2097	1647	2
70	1432	454	1071	2984	1548	1
71	1012	395	454	1498	1561	1
72	1630	610	320	2660	1647	1
73	1744	704	1178	3009	1690	1
75	1181	606	737	1174	1570	1
76	2926	351	1	1659	1757	2
77	1766	557	395	2255	1389	1
78	3314	1305	298	2175	1353	2
79	1248	540	477	2955	1491	1
82	1195	628	649	2013	1504	1
84	3320	1258	1	2278	1536	2
85	1321	772	522	3078	1531	1
86	1676	1096	662	2661	1592	1
91	1374	395	1004	2288	1503	1
92	3085	1739	60	2222	1795	2
93	3227	2163	280	2085	1366	2
97	2887	1055	454	1979	1432	2
98	1749	606	306	2543	1124	1
99	1334	431	1563	2204	1390	1
100	878	1300	1086	1774	1294	1
102	2252	580	3086	3611	1583	1
103	1191	220	575	2545	1377	1
104	1394	615	776	2658	1655	1
106	980	522	1324	2437	1404	1
108	1547	756	1503	2835	1594	1
110	1662	504	2119	3004	1453	1
111	3610	641	1	418	1393	2
112	3094	1026	1	2104	1557	2
115	3071	1400	404	1787	1799	2
116	1058	641	953	2660	1591	1
122	1183	495	386	3235	1212	1
123	1201	504	885	2849	1523	1
124	1040	597	649	1808	1624	1
125	2041	610	3180	3951	1763	1
126	2743	741	229	1670	895	2
129	1101	431	745	1174	1596	1
130	3280	1615	427	2189	1868	2
131	1423	632	413	2753	1435	1
132	737	436	619	2765	1615	1
134	1176	540	468	2962	1385	1
135	1276	857	267	2584	1516	1
138	1473	272	373	3119	1566	1
141	1578	540	229	2920	1528	1
142	753	575	692	2775	1550	1
143	1515	602	1371	2376	1482	1
144	1284	799	745	2779	1483	1
